name,type,growth_tier,crash_growth,recovery_rank,exp_growth_18m,P(>25% fall),recover_6m_if_falls_by18m,recover_12m_if_falls_by18m,recover_18m_if_falls_by18m,recover_by_1y_if_falls,recover_by_2y_if_falls,recover_by_3y_if_falls,gt3y_tail_unconditional,permanence_factor,true_permanent_loss,perm_vs_SP_multiple,reward_vs_SP,reward_vs_SCHD,growth_per_fall,delta_tail_30d
Docebo peer / DigitalOcean,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.622,0.136,0.285,0.383,0.285,0.446,0.523,0.296,0.5,0.148,1.5,0.73,0.78,0.16,
Coherent peer / Viavi,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.482,0.075,0.191,0.278,0.191,0.346,0.428,0.276,0.45,0.124,1.4,0.78,0.84,0.21,
Allegro MicroSystems,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.629,0.113,0.246,0.333,0.246,0.395,0.472,0.332,0.5,0.166,1.7,0.65,0.7,0.16,-0.007
Navitas Semiconductor,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.835,0.189,0.339,0.423,0.339,0.474,0.54,0.384,0.7,0.269,2.0,0.56,0.61,0.12,-0.001
FormFactor,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.605,0.112,0.252,0.34,0.252,0.4,0.48,0.314,0.5,0.157,1.6,0.69,0.74,0.17,-0.0
Tesla,stock,Safe,cyclical,cyclical — needs TAM rebound,0.09,0.813,0.117,0.255,0.34,0.255,0.4,0.474,0.427,0.65,0.278,2.2,0.45,0.49,0.11,-0.001
VOO (S&P 500),ETF,Safe,secular,diversified / safe (buyback earn-back),0.09,0.29,0.039,0.106,0.174,0.106,0.237,0.33,0.194,0.05,0.01,1.0,1.0,1.08,0.31,-0.001
Salesforce,stock,Safe,secular,diversified / safe (buyback earn-back),0.09,0.507,0.1,0.24,0.334,0.24,0.401,0.485,0.261,0.35,0.091,1.3,0.74,0.8,0.18,-0.001
Powell Industries,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.522,0.109,0.251,0.345,0.251,0.412,0.496,0.263,0.5,0.131,1.4,0.66,0.71,0.15,
Nice Ltd,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.426,0.085,0.219,0.317,0.219,0.389,0.48,0.222,0.4,0.089,1.1,0.78,0.84,0.19,
InterDigital,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.419,0.074,0.199,0.289,0.199,0.358,0.452,0.23,0.35,0.08,1.2,0.75,0.81,0.19,
Adobe,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.49,0.114,0.267,0.367,0.267,0.438,0.522,0.234,0.35,0.082,1.2,0.74,0.79,0.16,-0.011
Microchip Technology,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.568,0.099,0.234,0.323,0.234,0.384,0.458,0.308,0.4,0.123,1.6,0.56,0.6,0.14,-0.003
Power Integrations,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.545,0.081,0.195,0.279,0.195,0.34,0.417,0.318,0.45,0.143,1.6,0.54,0.59,0.15,0.006
Entegris,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.578,0.113,0.255,0.348,0.255,0.41,0.49,0.295,0.42,0.124,1.5,0.59,0.63,0.14,0.002
Universal Display,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.561,0.109,0.241,0.335,0.241,0.399,0.481,0.292,0.4,0.117,1.5,0.59,0.64,0.14,
TD SYNNEX,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.476,0.1,0.235,0.328,0.235,0.4,0.488,0.244,0.4,0.098,1.3,0.71,0.76,0.17,
Equinix,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.404,0.028,0.091,0.146,0.091,0.196,0.261,0.298,0.3,0.089,1.5,0.58,0.62,0.2,-0.01
GE Vernova,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.57,0.087,0.203,0.284,0.203,0.344,0.418,0.332,0.4,0.133,1.7,0.52,0.56,0.14,-0.002
Twilio,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.604,0.115,0.257,0.347,0.257,0.406,0.482,0.313,0.45,0.141,1.6,0.55,0.59,0.13,
BigBear.ai,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.855,0.192,0.343,0.424,0.343,0.476,0.542,0.392,0.72,0.282,2.0,0.44,0.47,0.09,-0.002
UiPath,stock,Safe,secular,diversified / safe (buyback earn-back),0.08,0.6,0.116,0.255,0.345,0.255,0.409,0.49,0.306,0.5,0.153,1.6,0.56,0.61,0.13,
Qualcomm,stock,Safe,cyclical,cyclical — needs TAM rebound,0.07,0.423,0.0,0.31,0.43,0.31,0.509,0.611,0.165,0.4,0.066,0.8,0.92,0.99,0.17,-0.003
Apple,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.461,0.065,0.175,0.259,0.175,0.319,0.398,0.278,0.3,0.083,1.4,0.54,0.59,0.15,0.0
NextEra Energy,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.226,0.015,0.063,0.125,0.063,0.185,0.267,0.165,0.3,0.05,0.9,0.91,0.98,0.31,
Diodes Incorporated,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.541,0.094,0.224,0.312,0.224,0.376,0.457,0.293,0.5,0.147,1.5,0.51,0.55,0.13,
MKS Instruments,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.61,0.149,0.312,0.408,0.312,0.474,0.556,0.271,0.5,0.135,1.4,0.56,0.6,0.11,-0.002
Eaton Corporation,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.477,0.07,0.178,0.259,0.178,0.321,0.402,0.285,0.4,0.114,1.5,0.53,0.57,0.15,
Fastly,stock,Safe,secular,diversified / safe (buyback earn-back),0.07,0.756,0.138,0.277,0.36,0.277,0.412,0.481,0.392,0.6,0.235,2.0,0.39,0.42,0.09,
Cisco,stock,Safe,secular,diversified / safe (buyback earn-back),0.06,0.326,0.056,0.165,0.257,0.165,0.329,0.431,0.185,0.4,0.074,1.0,0.7,0.75,0.18,-0.002
SCHD (Dividend),ETF,Safe,secular,diversified / safe (buyback earn-back),0.06,0.201,0.03,0.08,0.142,0.08,0.206,0.305,0.139,0.05,0.007,0.7,0.93,1.0,0.3,-0.002
Micron peer / GlobalFoundries,stock,Safe,secular,diversified / safe (buyback earn-back),0.06,0.558,0.109,0.243,0.335,0.243,0.402,0.483,0.288,0.5,0.144,1.5,0.45,0.48,0.11,
NXP Semiconductors,stock,Safe,secular,diversified / safe (buyback earn-back),0.06,0.522,0.106,0.247,0.343,0.247,0.406,0.495,0.264,0.45,0.119,1.4,0.49,0.53,0.11,0.004
Advanced Micro peer / UMC,stock,Safe,secular,diversified / safe (buyback earn-back),0.06,0.519,0.115,0.252,0.352,0.252,0.421,0.506,0.257,0.5,0.128,1.3,0.5,0.54,0.12,
Digital Realty Trust,stock,Safe,secular,diversified / safe (buyback earn-back),0.06,0.396,0.03,0.09,0.149,0.09,0.193,0.265,0.291,0.35,0.102,1.5,0.44,0.48,0.15,-0.022
IBM,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.278,0.018,0.079,0.143,0.079,0.197,0.275,0.201,0.42,0.085,1.0,0.54,0.58,0.18,-0.0
Kioxia,stock,Safe,cyclical,cyclical high-growth / rebound-dependent,0.05,0.561,0.0,0.0,0.438,0.0,0.503,0.586,0.232,0.6,0.139,1.2,0.46,0.5,0.09,-0.003
